,department1,year,term,enrollment,name_key1,course_title,Course_Workload_Rating,Course_Overall_Rating
981,PSY,2011,fall,4.0,PSY 2660R,Research Seminar in Mindfulness Theory,2.5,4.5
982,PSY,2011,fall,6.0,PSY 3610,Leadership and Group Behavior: Research Seminar,2.0,5.0
983,PSY,2011,fall,5.0,PSY 2640R,The Understand Seminar,1.0,4.5
984,PSY,2011,fall,12.0,PSY 2580R,Affective Forecasting: Research Seminar,3.5,4.6
985,PSY,2011,fall,13.0,PSY 3555,Instructional Styles in Psychology,2.0,4.0
986,PSY,2011,fall,8.0,PSY 3800,Psychometric Theory,1.2,3.3
987,PSY,2011,fall,16.0,PSY 950,Psychology Live,1.8,4.5
988,PSY,2011,fall,30.0,PSY 971,Contemporary Issues in Psychology: Intensive Cross-level Analyses,2.7,3.8
989,PSY,2011,fall,12.0,PSY 975,Contemporary Issues in Psychology: Intensive Cross-level Analyses for Social and Cognitive Neuroscie,2.3,4.8
990,PSY,2011,fall,6.0,PSY 980F,Animal Cognition,2.0,4.7
991,PSY,2011,fall,3.0,PSY 980G,Developmental Neuroscience,2.3,5.0
992,PSY,2011,fall,14.0,PSY 980J,Psychology of Religion,1.9,4.6
993,PSY,2011,fall,9.0,PSY 980O,Perception and Imagination,1.8,4.9
1018,SCILIVSY,2011,fall,72.0,SCILIVSY 11,Molecules of Life,1.5,4.3
1019,SCILIVSY,2011,fall,34.0,SCILIVSY 15,Developmental Psychology: Origins of Knowledge,1.7,3.5
1020,SCILIVSY,2011,fall,37.0,SCILIVSY 18,"Evolutionary Biology: Sex, Survival, and the Orgy of Species (formerly Science B-65)",1.7,4.0
1021,SCILIVSY,2011,fall,403.0,SCILIVSY 20,Psychological Science,2.0,4.0
1022,SCILIVSY,2011,fall,9.0,SCILIVSY 22,Human Influence on Life in the Sea,1.7,4.6
1023,SCILIVSY,2011,fall,79.0,SCILIVSY 24,From Neurons to Nations: The Science of Early Childhood Development and the Foundations of a Success,1.7,3.7
1024,SCIPHUNV,2011,fall,11.0,SCIPHUNV 14,How to Build a Habitable Planet,1.6,4.2
1025,SCIPHUNV,2011,fall,18.0,SCIPHUNV 18,Time,2.6,3.0
1026,SCIPHUNV,2011,fall,187.0,SCIPHUNV 26,Primitive Navigation,1.9,3.3
1027,SCIPHUNV,2011,fall,173.0,SCIPHUNV 27,Science and Cooking: From Haute Cuisine to Soft Matter Science,1.8,3.6
1028,SCIPHUNV,2011,fall,19.0,SCIPHUNV 29,The Climate-Energy Challenge,1.9,4.1
1071,SOCIOL,2011,fall,37.0,SOCIOL 107,The American Family,1.7,3.3
1072,SOCIOL,2011,fall,79.0,SOCIOL 109,Leadership and Organizations,2.3,4.8
1073,SOCIOL,2011,fall,14.0,SOCIOL 121,Religion in a Globalizing World,2.1,3.8
1074,SOCIOL,2011,fall,65.0,SOCIOL 128,Models of Social Science Research,1.9,3.8
1075,SOCIOL,2011,fall,11.0,SOCIOL 145,Urban Social Problems,2.0,4.2
1076,SOCIOL,2011,fall,58.0,SOCIOL 155,Class and Culture,1.9,4.3
1077,SOCIOL,2011,fall,58.0,SOCIOL 165,Inequalities in Health Care,1.9,3.4
1078,SOCIOL,2011,fall,20.0,SOCIOL 178,"Social Network Analysis: Theory, Methods and Applications",2.6,3.9
1079,SOCIOL,2011,fall,15.0,SOCIOL 179,"Crime, Justice, and the American Legal System",2.3,4.2
1080,SOCIOL,2011,fall,25.0,SOCIOL 183,Race and Ethnic Relations,1.7,4.3
1081,SOCIOL,2011,fall,13.0,SOCIOL 203A,Advanced Quantitative Research Methods,3.5,4.1
1082,SOCIOL,2011,fall,14.0,SOCIOL 204,Classical Social Theory,2.8,3.7
1083,SOCIOL,2011,fall,11.0,SOCIOL 205,Sociological Research Design,2.6,4.0
1084,SOCIOL,2011,fall,10.0,SOCIOL 208,Contemporary Theory and Research: Seminar,3.2,2.9
1085,SOCIOL,2011,fall,9.0,SOCIOL 221,"Immigration, Identity and Assimilation: Seminar",2.3,4.6
1086,SOCIOL,2011,fall,13.0,SOCIOL 237,Contemporary Chinese Society: Seminar,2.6,4.2
1087,SOCIOL,2011,fall,7.0,SOCIOL 255,Social Stratification: Seminar,2.4,2.7
1088,SOCIOL,2011,fall,8.0,SOCIOL 267,Political Sociology,3.6,4.5
1089,SOCIOL,2011,fall,25.0,SOCIOL 97,Tutorial in Sociological Theory,2.2,4.5
1090,SOCIOL,2011,fall,5.0,SOCIOL 98GA,Understanding Mexican Migration Flows to the US,2.2,3.8
1091,SOCIOL,2011,fall,5.0,SOCIOL 98L,Racism and Anti-Racism in Comparative Perspective,2.4,3.6
1092,SOCIOL,2011,fall,7.0,SOCIOL 98WB,"Race, Poverty, and Family Justice",2.3,5.0
1093,SOCIOL,2011,fall,12.0,SOCIOL 98WC,Sports and Society,2.1,4.8
1094,SOCWORLD,2011,fall,66.0,SOCWORLD 12,China: Traditions and Transformations,2.3,3.5
1095,SOCWORLD,2011,fall,44.0,SOCWORLD 15,"The Cuban Revolution, 1956-1971: A Self-Debate",2.2,4.3
1096,SOCWORLD,2011,fall,116.0,SOCWORLD 19,Western Ascendancy: The Mainsprings of Global Power from 1600 to the Present,2.5,4.0
1097,SOCWORLD,2011,fall,139.0,SOCWORLD 25,Case Studies in Global Health: Biosocial Perspectives,2.2,4.3
1098,SOCWORLD,2011,fall,11.0,SOCWORLD 28,Exploration and Empire Building,2.2,4.2
1099,SOCWORLD,2011,fall,71.0,SOCWORLD 30,Moctezuma's Mexico: Then and Now,1.6,3.5
1100,SOCWORLD,2011,fall,8.0,SOCWORLD 32,The Making of Modern Politics: The Development of Democracy in Europe from the Middle Ages to the Eu,2.4,4.3
1101,SOCWORLD,2011,fall,29.0,SOCWORLD 36,Modern India and South Asia,2.1,3.7
1102,SOCWORLD,2011,fall,51.0,SOCWORLD 38,Pyramid Schemes: The Archaeological History of Ancient Egypt,1.4,3.6
1103,SOCWORLD,2011,fall,78.0,SOCWORLD 43,Japan's Samurai Revolution,2.2,4.0
1104,SOCWORLD,2011,fall,14.0,SOCWORLD 45,Beyond the Great Wall: China and its Nomadic Other,2.5,4.4
1105,SOCWORLD,2011,fall,27.0,SOCWORLD 46,The Anthropology of Arabia,2.1,3.7
1106,SOCWORLD,2011,fall,21.0,SOCWORLD 47,Contemporary South Asia: A Survey of Intractable Problems and Innovative Solutions,2.1,4.2
1107,SPANSH,2011,fall,24.0,SPANSH 149,Filming the Text,3.0,4.1
1108,SPANSH,2011,fall,18.0,SPANSH 195,"Aztec Shamanism, Ritual, and Myth",2.0,4.1
1109,SPANSH,2011,fall,5.0,SPANSH 281R,Poetry and Painting in Seventeenth-Century Spain: Seminar,2.2,4.4
1110,SPANSH,2011,fall,100.0,SPANSH 30,"Advanced Language Review through Literature and Culture, I",1.9,4.3
1111,SPANSH,2011,fall,91.0,SPANSH 40,"Advanced Language Review through Literature and Culture, II",2.0,4.3
1112,SPANSH,2011,fall,95.0,SPANSH 50,Writing and Performance,1.8,4.4
1113,SPANSH,2011,fall,9.0,SPANSH 59,Spanish and the Community,2.2,4.8
1114,SPANSH,2011,fall,10.0,SPANSH 61A,Pre-Textos: Las artes interpretan,1.4,4.1
1115,SPANSH,2011,fall,12.0,SPANSH 62,Crossing Cultures: Advanced Spanish Through Translation and Creative Writing,1.9,3.8
1116,SPANSH,2011,fall,21.0,SPANSH 70C,Documenting Spanish Modernity: A Survey of Spanish Literature and Culture from 1700,2.3,4.0
1117,SPANSH,2011,fall,16.0,SPANSH 90MX,The Mexican Revolution in Literature and Art,1.9,4.2
1118,SPANSH,2011,fall,166.0,SPANSH AA,Beginning Spanish I,1.7,4.3
1119,SPANSH,2011,fall,95.0,SPANSH AB,Beginning Spanish II,1.6,4.3
1120,SPANSH,2011,fall,14.0,SPANSH ACD,Intensive Beginning Spanish: Special Course,2.5,4.8
1121,SPANSH,2011,fall,5.0,SPANSH AX,Reading Spanish,2.0,5.0
1122,SPANSH,2011,fall,104.0,SPANSH C,Intermediate Spanish,1.8,4.3
1123,STAT,2011,fall,52.0,STAT 100,Introduction to Quantitative Methods for the Social Sciences and Humanities,2.3,3.6
1124,STAT,2011,fall,31.0,STAT 101,Introduction to Quantitative Methods for Psychology and the Behavioral Sciences,2.4,4.3
1125,STAT,2011,fall,384.0,STAT 104,Introduction to Quantitative Methods for Economics,1.8,4.2
1126,STAT,2011,fall,270.0,STAT 110,Introduction to Probability,3.3,4.2
1127,STAT,2011,fall,24.0,STAT 131,Time Series Analysis and Forecasting,2.5,4.2
1128,STAT,2011,fall,27.0,STAT 135,Statistical Computing Software,1.6,4.2
1129,STAT,2011,fall,78.0,STAT 139,Statistical Sleuthing Through Linear Models,3.3,3.7
1130,STAT,2011,fall,20.0,STAT 160,Design and Analysis of Sample Surveys,2.8,3.4
1131,STAT,2011,fall,51.0,STAT 210,Probability Theory,4.0,4.0
1132,STAT,2011,fall,6.0,STAT 212,Advanced Stochastic Processes,2.2,4.2
1133,STAT,2011,fall,27.0,STAT 220,Bayesian Data Analysis,3.8,3.7
1134,STAT,2011,fall,14.0,STAT 230,Multivariate Statistical Analysis,3.0,4.6
1135,STAT,2011,fall,29.0,STAT 240,Matched Sampling and Study Design,1.8,4.0
1136,STAT,2011,fall,6.0,STAT 260,Design and Analysis of Sample Surveys,2.6,4.6
1137,STAT,2011,fall,7.0,STAT 303HF,The Art and Practice of Teaching Statistics,1.8,4.8
1138,STAT,2011,fall,6.0,STAT 311,Monte Carlo Methods in Scientific Computing,2.5,4.0
1139,STAT,2011,fall,14.0,STAT 365,Reading Fisher,2.3,4.8
1140,STAT,2011,fall,9.0,STAT 392,"Research Topics in Missing Data, Matching and Causality",2.1,5.0
1141,STAT,2011,fall,10.0,STAT 399HF,Problem Solving in Statistics,2.0,4.2
1160,US-WORLD,2011,fall,134.0,US-WORLD 11,American Health Care Policy,1.6,2.9
1161,US-WORLD,2011,fall,12.0,US-WORLD 15,Is the American Racial Order Being Transformed?,1.8,3.4
1162,US-WORLD,2011,fall,58.0,US-WORLD 16,Men and Women in Public and Private: The US in the 20th Century,2.2,4.1
1163,US-WORLD,2011,fall,55.0,US-WORLD 24,Reinventing Boston: The Changing American City,1.8,3.6
1164,US-WORLD,2011,fall,41.0,US-WORLD 28,Slavery/Capitalism/Imperialism: The US in the Nineteenth Century,2.2,4.3
1165,US-WORLD,2011,fall,44.0,US-WORLD 32,The World's Religions in Multicultural America: Case Studies in Religious Pluralism,1.7,4.5
1166,US-WORLD,2011,fall,12.0,US-WORLD 33,Religion and Social Change,2.1,3.8
1167,US-WORLD,2011,fall,48.0,US-WORLD 35,Taking a Stand: Dilemmas of Equity and Excellence in American K-12 Education,2.4,4.7
1168,US-WORLD,2011,fall,93.0,US-WORLD 36,Innovation and Entrepreneurship: American Experience in Comparative Perspective,2.3,4.2
1219,AESTHINT,2012,spring,33.0,AESTHINT 12,Poetry in America,1.7,4.2
1220,AESTHINT,2012,spring,40.0,AESTHINT 14,Putting Modernism Together,1.8,3.8
1221,AESTHINT,2012,spring,26.0,AESTHINT 21,Virgil: Poetry and Reception,2.0,3.8
1222,AESTHINT,2012,spring,24.0,AESTHINT 29,Modern Jewish Literature,2.0,4.7
1223,AESTHINT,2012,spring,64.0,AESTHINT 31,American Musicals and American Culture,1.8,3.3
1224,AESTHINT,2012,spring,63.0,AESTHINT 36,Buddhism and Japanese Culture,1.3,4.4
1225,AESTHINT,2012,spring,87.0,AESTHINT 42,Literature and Revolution: Great Books in Moments of Cultural Transformation,2.0,4.0
1226,AESTHINT,2012,spring,11.0,AESTHINT 44,Arts of Asia,1.9,4.1
1227,AESTHINT,2012,spring,18.0,AESTHINT 47,Forbidden Romance in Modern China,2.1,4.2
1228,AESTHINT,2012,spring,76.0,AESTHINT 53,Anime as Global Popular Culture,1.9,3.6
1229,AFRAMER,2012,spring,26.0,AFRAMER 102,The Hip Hop Generation and Post-Civil Rights Black Politics,1.8,3.9
1230,AFRAMER,2012,spring,12.0,AFRAMER 111,"Spectral Fictions, Savage Phantasms: Race and Gender in Anti-Racist South African & African America",1.6,3.8
1231,AFRAMER,2012,spring,25.0,AFRAMER 118,The History of African Americans From the Slave Trade to the Great Migration,1.8,3.9
1232,AFRAMER,2012,spring,26.0,AFRAMER 128,Black Nationalism,1.9,4.2
1233,AFRAMER,2012,spring,5.0,AFRAMER 139X,"Power, Struggle, and Abolition in the Atlantic World",2.4,4.5
1234,AFRAMER,2012,spring,35.0,AFRAMER 142,Hiphop and Don't Stop: Education and Know-the-Ledge,1.3,3.6
1235,AFRAMER,2012,spring,13.0,AFRAMER 174,The African City,2.5,4.1
1236,AFRAMER,2012,spring,47.0,AFRAMER 179,"Jazz, Freedom, and Culture",1.5,3.9
1237,AFRAMER,2012,spring,4.0,AFRAMER 180X,"Race, Class and the Making of American Religion",2.7,4.0
1238,AFRAMER,2012,spring,9.0,AFRAMER 191X,African American Lives in the Law,2.0,4.5
1239,AFRAMER,2012,spring,15.0,AFRAMER 197,"Poverty, Race, and Health",1.6,4.6
1240,AFRAMER,2012,spring,4.0,AFRAMER 90R.A,Amharic,1.0,3.3
1241,AFRAMER,2012,spring,2.0,AFRAMER 90R.B,Bamanakan,2.0,5.0
1242,AFRAMER,2012,spring,1.0,AFRAMER 90R.D,Chichewa,1.0,5.0
1243,AFRAMER,2012,spring,15.0,AFRAMER 90R.G,Haitian Creole,1.3,4.1
1244,AFRAMER,2012,spring,2.0,AFRAMER 90R.H,Hausa,2.0,5.0
1245,AFRAMER,2012,spring,10.0,AFRAMER 90R.I,Igbo,1.7,4.3
1246,AFRAMER,2012,spring,5.0,AFRAMER 90R.J,Kinyarwanda,2.0,4.8
1247,AFRAMER,2012,spring,3.0,AFRAMER 90R.K,Luganda,1.5,4.5
1248,AFRAMER,2012,spring,4.0,AFRAMER 90R.M,Somali,1.0,3.0
1249,AFRAMER,2012,spring,2.0,AFRAMER 90R.O,Wolof,1.5,5.0
1250,AFRAMER,2012,spring,3.0,AFRAMER 90R.Q,Zulu,2.3,4.3
1251,AFRAMER,2012,spring,3.0,AFRAMER 90R.W,Ibibio,2.0,5.0
1252,AFRAMER,2012,spring,2.0,AFRAMER 90R.X,Setswana,1.5,4.0
1253,AFRAMER,2012,spring,2.0,AFRAMER 90R.Y,Kikongo,1.5,4.0
1254,AFRAMER,2012,spring,15.0,AFRAMER 90R,African Language Tutorials,1.5,4.5
1255,ANTHRO,2012,spring,9.0,ANTHRO 1025R,"Museum Anthropology, Thinking with Objects: Kayaks: Seminar",1.6,4.4
1256,ANTHRO,2012,spring,7.0,ANTHRO 1040,Origins of the Food We Eat,2.5,3.0
1257,ANTHRO,2012,spring,7.0,ANTHRO 1095,Urban Revolutions: Archaeology and the Investigation of Early States,1.0,4.2
1258,ANTHRO,2012,spring,12.0,ANTHRO 1131,Archaeology of Harvard Yard II: Laboratory Methods and Analysis,1.5,4.1
1259,ANTHRO,2012,spring,47.0,ANTHRO 1202,Forensic Archaeology,1.6,3.8
1260,ANTHRO,2012,spring,4.0,ANTHRO 1210,The Archaeology of Ancient China,2.3,4.3
1261,ANTHRO,2012,spring,12.0,ANTHRO 1600,The Ethnographic Encounter:  An Introduction to Social Anthropology,2.2,3.8
1262,ANTHRO,2012,spring,11.0,ANTHRO 1610,Ethnographic Research Methods,1.7,4.1
1263,ANTHRO,2012,spring,8.0,ANTHRO 1656,Anthropology of Pakistan: Beyond the Headlines : seminar,2.5,3.9
1264,ANTHRO,2012,spring,31.0,ANTHRO 1682,Gangsters and Troublesome Populations,1.8,4.2
1265,ANTHRO,2012,spring,7.0,ANTHRO 1713,Economic Rights and Wrongs,2.1,3.7
1266,ANTHRO,2012,spring,9.0,ANTHRO 1726,Ethnography of South Korea,2.2,4.6
1267,ANTHRO,2012,spring,20.0,ANTHRO 1755,Creole Pop Iconographies,1.6,3.9
1268,ANTHRO,2012,spring,9.0,ANTHRO 1820,Japan in the Ethnographic Gaze: Seminar,2.1,3.8
1269,ANTHRO,2012,spring,10.0,ANTHRO 1836AAR,Sensory Ethnography I,4.1,4.9
1270,ANTHRO,2012,spring,5.0,ANTHRO 1875,Moving Pictures: An Anthropology of Images,2.0,4.8
1271,ANTHRO,2012,spring,38.0,ANTHRO 1882,The Woman and the Body,1.6,3.8
1272,ANTHRO,2012,spring,12.0,ANTHRO 1912,Political Economy: Seminar,2.4,4.4
1273,ANTHRO,2012,spring,14.0,ANTHRO 1948,Historical Anthropology of Israel/Palestine,1.9,4.7
1274,ANTHRO,2012,spring,11.0,ANTHRO 1986,"Art, Anthropology, and Aesthetics",1.8,4.8
1275,ANTHRO,2012,spring,5.0,ANTHRO 1996,"Angels, Ghosts, and Hustlers: Bangkok Live",1.8,4.2
1276,ANTHRO,2012,spring,8.0,ANTHRO 2020,GIS and Spatial Analysis in Archaeology,3.1,4.6
1277,ANTHRO,2012,spring,9.0,ANTHRO 2085,Archaeology of Ritual and Religion,2.8,4.2
1278,ANTHRO,2012,spring,8.0,ANTHRO 2360R,Topics in Paleolithic Archaeology and Paleoanthropology,1.2,3.6
1279,ANTHRO,2012,spring,8.0,ANTHRO 2626,Research Design,2.5,3.0
1280,ANTHRO,2012,spring,12.0,ANTHRO 2650B,History and Theory of Social Anthropology: Proseminar,2.8,3.5
1281,ANTHRO,2012,spring,13.0,ANTHRO 2688,"The Frankfurt School, Film, and Popular Culture",2.8,3.7
1282,ANTHRO,2012,spring,5.0,ANTHRO 2695,"Design Anthropology: Objects, Landscapes, Cities",2.4,3.2
1283,ANTHRO,2012,spring,14.0,ANTHRO 2795,"Medical Anthropology: Theoretical Trajectories, Emergent Realities",2.4,3.2
1284,ANTHRO,2012,spring,8.0,ANTHRO 2805,Biopolitics,2.1,4.2
1285,ANTHRO,2012,spring,4.0,ANTHRO 2826,"Foucault in the Colonies: Power, Colonialism and the Law",2.0,3.7
1286,ANTHRO,2012,spring,12.0,ANTHRO 2862,Anthropology of Biomedicine,2.7,4.8
1287,ANTHRO,2012,spring,5.0,ANTHRO 97X,Sophomore Tutorial in Archaeology,2.4,4.2
1288,ANTHRO,2012,spring,18.0,ANTHRO 97Z,Sophomore Tutorial in Social Anthropology,2.1,3.7
1289,APMTH,2012,spring,106.0,APMTH 105,Ordinary and Partial Differential Equations,2.8,4.0
1290,APMTH,2012,spring,29.0,APMTH 107,Graph Theory and Combinatorics,3.2,3.5
1291,APMTH,2012,spring,28.0,APMTH 111,Introduction to Scientific Computing,2.5,4.1
1292,APMTH,2012,spring,24.0,APMTH 207,Advanced Scientific Computing: Stochastic Optimization Methods,3.6,3.7
1293,APMTH,2012,spring,212.0,APMTH 21B,Mathematical Methods in the Sciences,2.5,3.3
1294,APMTH,2012,spring,4.0,APMTH 231,Decision Theory,3.2,2.8
1295,APMTH,2012,spring,8.0,APMTH 274,Computational Fluid Dynamics,2.9,4.8
1296,APMTH,2012,spring,45.0,APMTH 50,Introduction to Applied Mathematics,1.5,3.4
1349,CHEM,2012,spring,11.0,CHEM 100R,Experimental Chemistry and Chemical Biology,3.2,4.9
1350,CHEM,2012,spring,14.0,CHEM 135,Experimental Synthetic Chemistry,2.9,3.8
1351,CHEM,2012,spring,12.0,CHEM 154,Advanced Inorganic Chemistry,2.1,4.6
1352,CHEM,2012,spring,14.0,CHEM 158,Nanoscience and Nanotechnology,1.3,4.2
1353,CHEM,2012,spring,36.0,CHEM 161,Statistical Thermodynamics,2.5,3.6
1354,CHEM,2012,spring,11.0,CHEM 165,Experimental Physical Chemistry,3.6,4.3
1355,CHEM,2012,spring,25.0,CHEM 171,Biological Synthesis,2.6,4.1
1356,CHEM,2012,spring,104.0,CHEM 20,Organic Chemistry,3.5,4.6
1357,CHEM,2012,spring,7.0,CHEM 255,Practical Crystallography in Chemistry and Materials Science,1.8,3.6
1358,CHEM,2012,spring,189.0,CHEM 27,Organic Chemistry of Life,3.1,3.3
1359,CHEM,2012,spring,42.0,CHEM 301HF,Scientific Teaching and Communications: Practicum,1.6,3.5
1360,CHEM,2012,spring,80.0,CHEM 40,Inorganic Chemistry,3.7,3.6
1389,COMPSCI,2012,spring,110.0,COMPSCI 124,Data Structures and Algorithms,3.6,3.6
1390,COMPSCI,2012,spring,138.0,COMPSCI 164,Mobile Software Engineering,3.9,3.5
1391,COMPSCI,2012,spring,59.0,COMPSCI 171,Visualization,3.0,3.3
1392,COMPSCI,2012,spring,45.0,COMPSCI 179,Design of Usable Interactive Systems,3.0,3.2
1393,COMPSCI,2012,spring,35.0,COMPSCI 1,Great Ideas in Computer Science,2.8,4.1
1394,COMPSCI,2012,spring,5.0,COMPSCI 203HF,A Better Internet: Policy and Practice,2.0,4.0
1395,COMPSCI,2012,spring,22.0,COMPSCI 207,Systems Development for Computational Science,3.7,4.7
1396,COMPSCI,2012,spring,42.0,COMPSCI 20,Discrete Mathematics for Computer Science,2.4,4.0
1397,COMPSCI,2012,spring,18.0,COMPSCI 221,Computational Complexity,3.9,4.2
1398,COMPSCI,2012,spring,10.0,COMPSCI 244R,Networks Design Projects,2.4,3.0
1399,COMPSCI,2012,spring,9.0,COMPSCI 247R,Advanced Topics in Computer Architecture,2.3,4.7
1400,COMPSCI,2012,spring,8.0,COMPSCI 252R,Advanced Topics in Programming Languages,2.5,4.2
1401,COMPSCI,2012,spring,47.0,COMPSCI 262,Introduction to Distributed Computing,2.2,4.1
1402,COMPSCI,2012,spring,18.0,COMPSCI 266,Biologically-Inspired Distributed and Multi-Agent Systems,2.9,4.4
1403,COMPSCI,2012,spring,9.0,COMPSCI 278,Rendering and Image Processing in Computer Graphics,2.0,4.4
1404,COMPSCI,2012,spring,12.0,COMPSCI 42,Controlling Cyberspace,1.7,4.8
1405,COMPSCI,2012,spring,189.0,COMPSCI 51,Introduction to Computer Science II,3.8,4.2
1406,COMPSCI,2012,spring,2.0,COMPSCI 96,System Design Projects,3.0,4.5
1407,CULTBLF,2012,spring,38.0,CULTBLF 12,"For the Love of God and His Prophet: Religion, Literature, and the Arts in Muslim Cultures",2.1,4.6
1408,CULTBLF,2012,spring,8.0,CULTBLF 15,The Presence of the Past,2.1,4.1
1409,CULTBLF,2012,spring,63.0,CULTBLF 21,"Pathways through the Andes - Culture, History, and Beliefs in Andean South America",1.5,3.8
1410,CULTBLF,2012,spring,47.0,CULTBLF 25,"Studying Buddhism, Across Place and Time",1.7,3.9
1411,CULTBLF,2012,spring,21.0,CULTBLF 26,The Culture of Everyday Life in China,2.3,3.9
1412,CULTBLF,2012,spring,111.0,CULTBLF 31,"Saints, Heretics, and Atheists: An Historical Introduction to the Philosophy of Religion",1.7,4.0
1413,CULTBLF,2012,spring,26.0,CULTBLF 32,Back Roads to Far Places: Literature of Journey and Quest,2.3,4.0
1414,CULTBLF,2012,spring,112.0,CULTBLF 35,Classical Mythology,1.6,3.9
1415,CULTBLF,2012,spring,8.0,CULTBLF 41,"Gender, Islam, and Nation in the Middle East and North Africa",2.1,3.9
1416,CULTBLF,2012,spring,9.0,CULTBLF 48,"God, Justice, and the Book of Job",1.8,3.8
1449,ECON,2012,spring,342.0,ECON 1010B,Macroeconomic Theory,1.8,3.6
1450,ECON,2012,spring,54.0,ECON 1011B,Macroeconomic Theory,2.6,3.1
1451,ECON,2012,spring,71.0,ECON 1030,Psychology and Economics,2.1,4.1
1452,ECON,2012,spring,48.0,ECON 1052,Game Theory and Economic Applications,2.5,4.0
1453,ECON,2012,spring,16.0,ECON 1060,Contracts and Organizations,2.2,3.2
1454,ECON,2012,spring,625.0,ECON 10,Principles of Economics,2.4,3.2
1455,ECON,2012,spring,51.0,ECON 1123,Introduction to Econometrics,2.2,3.5
1456,ECON,2012,spring,18.0,ECON 1126,Quantitative Methods in Economics,2.5,4.4
1457,ECON,2012,spring,56.0,ECON 1127,Statistical Methods for Evaluating Causal Effects,2.9,4.4
1458,ECON,2012,spring,31.0,ECON 1310,The Economy of China,1.8,3.7
1459,ECON,2012,spring,13.0,ECON 1389,Economics of Global Health,2.1,4.3
1460,ECON,2012,spring,34.0,ECON 1393,Poverty and Development,2.0,4.4
1461,ECON,2012,spring,24.0,ECON 1410,Public Economics: Designing Government Policy,2.0,4.3
1462,ECON,2012,spring,79.0,ECON 1420,American Economic Policy,1.9,4.0
1463,ECON,2012,spring,22.0,ECON 1425,Political Economics,2.2,4.5
1464,ECON,2012,spring,4.0,ECON 1460,Economics of Health Care Policy,3.5,4.8
1465,ECON,2012,spring,7.0,ECON 1531,Economics of International Financial Policy,1.8,3.2
1466,ECON,2012,spring,25.0,ECON 1535,International Trade and Investment,2.0,3.8
1467,ECON,2012,spring,196.0,ECON 1630,Economics of Sports and Entertainment,1.3,3.4
1468,ECON,2012,spring,10.0,ECON 1642,Advanced Industrial Organization,3.7,4.7
1469,ECON,2012,spring,99.0,ECON 1661,Fundamentals of Environmental Economics and Policy,1.8,3.6
1470,ECON,2012,spring,10.0,ECON 1687,"Advanced Economics of the Environment, Natural Resources, and Climate Change",2.6,4.4
1471,ECON,2012,spring,73.0,ECON 1745,Corporate Finance,2.1,3.1
1472,ECON,2012,spring,22.0,ECON 1760,Behavioral Finance,1.7,4.2
1473,ECON,2012,spring,40.0,ECON 2010B,Economic Theory,3.5,4.2
1474,ECON,2012,spring,40.0,ECON 2010D,Economic Theory,3.2,3.9
1475,ECON,2012,spring,18.0,ECON 2020B,Microeconomic Theory II,2.9,3.5
1476,ECON,2012,spring,20.0,ECON 2040,Experimental Economics,2.2,4.3
1477,ECON,2012,spring,0.0,ECON 2052,Game Theory I: Equilibrium Theory,,
1478,ECON,2012,spring,8.0,ECON 2059,Decision Theory,2.9,4.4
1479,ECON,2012,spring,45.0,ECON 2120,Introduction to Applied Econometrics,3.1,3.9
1480,ECON,2012,spring,49.0,ECON 2140,Econometric Methods,3.1,4.4
1481,ECON,2012,spring,5.0,ECON 2162,Research in Econometrics,1.0,5.0
1482,ECON,2012,spring,12.0,ECON 2330,History and Human Capital,2.0,4.9
1483,ECON,2012,spring,3.0,ECON 2390C,Development Economics II: Macroeconomic Issues,3.0,4.0
1484,ECON,2012,spring,11.0,ECON 2410C,Advanced Topics in Macroeconomics,3.0,5.0
1485,ECON,2012,spring,4.0,ECON 2412B,"Law, Economics, and Politics",3.5,4.5
1486,ECON,2012,spring,4.0,ECON 2421,Reading Course in Monetary and Fiscal Policy,1.5,4.5
1487,ECON,2012,spring,8.0,ECON 2450B,Public Economics and Fiscal Policy II,1.2,3.8
1488,ECON,2012,spring,13.0,ECON 2465,Health Economics,2.2,4.8
1489,ECON,2012,spring,12.0,ECON 2480,Research in Public Economics and Fiscal Policy: Research Seminar,3.0,5.0
1490,ECON,2012,spring,18.0,ECON 2490,The Economics of National Security Seminar,1.3,4.7
1491,ECON,2012,spring,6.0,ECON 2530B,International Finance,3.2,5.0
1492,ECON,2012,spring,6.0,ECON 2535,Advanced Topics in International Trade,2.7,4.8
1493,ECON,2012,spring,11.0,ECON 2611,Industrial Organization II,3.0,4.4
1494,ECON,2012,spring,5.0,ECON 2725,Corporate Finance,3.6,4.6
1495,ECON,2012,spring,10.0,ECON 2770HF,Research in Financial Economics,2.0,5.0
1496,ECON,2012,spring,12.0,ECON 2811,Social Economics,2.1,4.6
1497,ECON,2012,spring,11.0,ECON 2812HF,Research in Labor Economics,4.0,4.3
1498,ECON,2012,spring,5.0,ECON 2888R,Economics of Science and Engineering Workshop,1.5,5.0
1499,ECON,2012,spring,5.0,ECON 3810CHFR,The Labor Economics Workshop,1.0,5.0
1500,ECON,2012,spring,192.0,ECON 970,Tutorial - Sophomore Year,2.6,4.2
1501,ECON,2012,spring,6.0,ECON 975,Tutorial - Theory Review,2.0,2.4
1502,ECON,2012,spring,14.0,ECON 980B,Education in the Economy,2.2,4.5
