Course,term,year,department,Enrollment,Workload,Overall
PSY 18: Abnormal Psychology,fall,2012,PSY,153,1.5,4.6
PSY 1901A: Methods of Behavioral Research,fall,2012,PSY,34,1.6,3.9
PSY 1950: Intermediate Statistical Analysis in Psychology,fall,2012,PSY,19,2.4,2.1
PSY 2010: Contemporary Topics in Psychological Research,fall,2012,PSY,16,2.3,4.1
PSY 2170: Developmental Proseminar,fall,2012,PSY,15,3.8,4.6
PSY 2352R: Laboratory for Social Cognitive Neuroscience,fall,2012,PSY,5,2.5,4.5
PSY 2356R: Visual Cognition: Research Seminar,fall,2012,PSY,7,2.5,5.0
PSY 2358R: Memory: Research Seminar,fall,2012,PSY,8,2.7,4.2
PSY 2400: Cognitive Psychology and Emotional Disorders,fall,2012,PSY,9,2.2,4.3
PSY 2410R: Laboratory Research on Emotional Disorders,fall,2012,PSY,8,1.8,4.8
PSY 2420: Cognitive-Behavioral Treatment of Psychological Disorders,fall,2012,PSY,8,2.4,4.6
PSY 2436R: Social Neuroscience and Psychopathology Laboratory,fall,2012,PSY,5,2.0,5.0
"PSY 2451: Psychology of Racism, Prejudice, and Discrimination",fall,2012,PSY,5,2.4,4.0
PSY 2461R: Laboratory for Clinical and Developmental Research,fall,2012,PSY,9,2.0,4.9
PSY 2464R: Research Methods in Child & Adolescent Clinical Psychology,fall,2012,PSY,11,2.2,4.6
PSY 2553R: Decision Making and Negotiation: Research Seminar,fall,2012,PSY,13,2.8,4.6
PSY 2554R: Moral Cognition: Research Seminar,fall,2012,PSY,8,2.8,5.0
PSY 2570R: Intergroup Relations: Research Seminar,fall,2012,PSY,7,2.0,3.5
PSY 2580R: Affective Forecasting: Research Seminar,fall,2012,PSY,12,2.9,4.4
PSY 2640R: The Understand Seminar,fall,2012,PSY,6,1.7,4.7
PSY 2652: The Psychology of Cooperation,fall,2012,PSY,13,2.5,3.8
PSY 2660R: Research Seminar in Mindfulness Theory,fall,2012,PSY,5,3.8,4.8
PSY 2670A: Decision Making and the Psychology of Possibility,fall,2012,PSY,8,1.9,4.3
PSY 3555: Instructional Styles in Psychology,fall,2012,PSY,10,1.0,2.0
PSY 950: Psychology Live,fall,2012,PSY,18,1.6,3.9
PSY 971: Contemporary Issues in Psychology: Intensive Cross-level Analyses,fall,2012,PSY,24,2.4,4.3
PSY 975: Contemporary Issues in Psychology: Intensive Cross-level Analyses for Social and Cognitive Neuroscie,fall,2012,PSY,4,2.2,4.8
PSY 980F: Animal Cognition,fall,2012,PSY,6,2.2,4.2
PSY 980J: Psychology of Religion,fall,2012,PSY,10,1.8,4.0
PSY 980K: Growing Up and Growing Old: Cognitive Changes in Childhood and Aging,fall,2012,PSY,9,1.4,4.8
PSY 980L: Language and Thought,fall,2012,PSY,6,2.0,3.8
RELIGION 1055: Apocalypse Now/2012: How the World Ends (or Doesn't) in Human Societies,fall,2012,RELIGION,24,1.8,3.8
"RELIGION 1095: Ritualization, Play, and Transitional Phenomena",fall,2012,RELIGION,5,2.3,5.0
"RELIGION 1434: History of Western Christianity, 150-1100",fall,2012,RELIGION,6,1.8,4.6
RELIGION 1550: Religion and American Public Life,fall,2012,RELIGION,5,2.0,4.4
RELIGION 2001: The History of the Study of Religion,fall,2012,RELIGION,11,2.7,4.0
"RELIGION 20: Ethnographies of Religion, Texts and Contexts",fall,2012,RELIGION,10,2.8,4.6
RELIGION 3505HFR: Colloquium in American Religious History,fall,2012,RELIGION,5,1.0,5.0
RELIGION 40: Incarnation and Desire: An Introduction to Christianity,fall,2012,RELIGION,30,1.9,4.1
"RELIGION 50: Religion, Law and American Politics",fall,2012,RELIGION,38,2.0,4.1
RELIGION 99: Tutorial - Senior Year,fall,2012,RELIGION,5,3.6,5.0
ROM-LANG 300: Seminar for Dissertation Writing in the Romance Literatures,fall,2012,ROM-LANG,5,1.5,5.0
ROM-STD 111: The World of Romance Language Cinemas: A Classical Age,fall,2012,ROM-STD,13,1.5,4.4
ROM-STD 201: Approaches to Theory,fall,2012,ROM-STD,10,3.1,4.2
ROM-STD 220: Fragments of a Material History of Literature,fall,2012,ROM-STD,7,3.2,3.5
RSRA 298: Master's Thesis Reading and Research,fall,2012,RSRA,7,2.8,3.8
RSRA 298HF: Master's Thesis Reading and Research,fall,2012,RSRA,9,1.0,3.5
SANSKRIT 101A: Elementary Sanskrit,fall,2012,SANSKRIT,7,3.1,4.0
SANSKRIT 102A: Intermediate Sanskrit I,fall,2012,SANSKRIT,9,2.9,4.4
SANSKRIT 104A: Introduction to the Rgveda: Readings I,fall,2012,SANSKRIT,4,2.8,4.8
SANSKRIT 200AR: Advanced Poetic Sanskrit,fall,2012,SANSKRIT,9,2.2,4.2
SANSKRIT 217: Introduction to Vedic Studies: language and texts - (New Course),fall,2012,SANSKRIT,5,2.2,4.2
SAS 100R: South Asian Language Tutorials,fall,2012,SAS,5,2.0,5.0
SAS 150: Workshop on Pilgrimage: The Kumbha Mela,fall,2012,SAS,15,1.8,4.2
SAS 190: Religious Nationalism and Ethnic Conflict in Modern South Asia,fall,2012,SAS,4,2.0,4.5
SAS 224: Rebirth and Karma,fall,2012,SAS,2,2.0,5.0
SAS 250R: Advanced Topics in Buddhist Philosophy - Conference Course,fall,2012,SAS,4,2.8,4.5
SCAND 90R.A: Danish,fall,2012,SCAND,2,2.0,4.0
SCAND 90R.C: Norwegian,fall,2012,SCAND,6,2.2,4.6
SCILIVSY 11: Molecules of Life,fall,2012,SCILIVSY,140,1.6,4.2
SCILIVSY 12: Understanding Darwinism,fall,2012,SCILIVSY,112,1.7,4.2
SCILIVSY 20: Psychological Science,fall,2012,SCILIVSY,351,1.9,4.1
SCILIVSY 22: Human Influence on Life in the Sea,fall,2012,SCILIVSY,73,1.8,3.1
SCIPHUNV 12: Natural Disasters,fall,2012,SCIPHUNV,86,1.6,4.0
SCIPHUNV 14: How to Build a Habitable Planet,fall,2012,SCIPHUNV,58,2.1,3.6
SCIPHUNV 26: Primitive Navigation,fall,2012,SCIPHUNV,43,1.7,4.2
SCIPHUNV 27: Science and Cooking: From Haute Cuisine to Soft Matter Science,fall,2012,SCIPHUNV,276,1.8,3.7
SCRB 10: Human Developmental and Regenerative Biology,fall,2012,SCRB,65,2.2,4.1
SCRB 150: Human Genetics: Mining Our Genomes for an Understanding of Human Variation and Disease,fall,2012,SCRB,19,2.2,4.9
SCRB 160: Experimental Embryology: From Stem Cells to Tissues and Back Again,fall,2012,SCRB,20,1.9,4.7
SCRB 180: Development and Regeneration of the Mammalian Brain,fall,2012,SCRB,17,2.0,3.7
"SCRB 190: Understanding Aging: Degeneration, Regeneration, and the Scientific Search for the Fountain of Youth",fall,2012,SCRB,38,1.5,4.2
SHBT 200: Acoustics of Speech and Hearing,fall,2012,SHBT,6,4.4,3.4
SHBT 201: Biology of the Inner Ear,fall,2012,SHBT,6,4.5,4.5
"SLAVIC 101: Advanced Intermediate Russian: Reading, Grammar Review, and Conversation",fall,2012,SLAVIC,7,2.5,4.8
SLAVIC 102R: Advanced Russian: Introduction to the Language of History and the Media,fall,2012,SLAVIC,9,2.6,3.6
SLAVIC 111: Advanced Russian: Readings in Russian/Post-Soviet Studies,fall,2012,SLAVIC,10,2.9,4.7
SLAVIC 113: Advanced Russian: Readings in Russian Literature I,fall,2012,SLAVIC,11,2.8,4.6
SLAVIC 141: Russian Drama and Performance,fall,2012,SLAVIC,5,1.7,4.7
SLAVIC 155: Dostoevsky,fall,2012,SLAVIC,14,2.5,4.5
SLAVIC 179: Bialoszewski: The Art of Private Life,fall,2012,SLAVIC,2,2.0,5.0
"SLAVIC 281: Literature, Film, and Visual Arts in Russia, 1920-1930",fall,2012,SLAVIC,6,2.3,4.0
SLAVIC 98: Tutorial - Junior Year,fall,2012,SLAVIC,3,3.3,4.7
SLAVIC A: Beginning Russian,fall,2012,SLAVIC,16,3.1,4.1
SLAVIC AA: Beginning Russian through Pushkin,fall,2012,SLAVIC,8,2.5,4.8
SLAVIC AAB: Beginning Russian (Intensive),fall,2012,SLAVIC,6,3.7,4.8
SLAVIC B: Intermediate Russian,fall,2012,SLAVIC,10,3.0,4.2
SLAVIC CA: Beginning Czech I,fall,2012,SLAVIC,3,2.0,5.0
SLAVIC CC: Intermediate Czech I,fall,2012,SLAVIC,4,2.0,4.3
SLAVIC CR: Supervised Readings in Intermediate/Advanced Czech,fall,2012,SLAVIC,1,3.0,4.0
SLAVIC DA: Beginning Polish I,fall,2012,SLAVIC,5,2.0,4.3
SLAVIC DC: Intermediate Polish I,fall,2012,SLAVIC,3,2.3,4.3
SLAVIC DR: Supervised Readings in Intermediate/Advanced Polish,fall,2012,SLAVIC,2,3.0,5.0
SLAVIC GA: Beginning Ukrainian I,fall,2012,SLAVIC,2,2.0,3.5
SLAVIC GR: Supervised Readings in Intermediate/Advanced Ukrainian,fall,2012,SLAVIC,2,2.5,4.5
SOC-STD 10A: Introduction to Social Studies,fall,2012,SOC-STD,125,3.0,4.0
SOC-STD 98AX: Development and Modernization: A Critical Perspective,fall,2012,SOC-STD,10,3.1,4.8
"SOC-STD 98FU: Practicing Democracy: Leadership, Community, Power",fall,2012,SOC-STD,10,3.9,4.4
SOC-STD 98KB: Gender in Developing Nations,fall,2012,SOC-STD,6,2.5,4.5
SOC-STD 98LH: Education and American Society,fall,2012,SOC-STD,10,2.8,4.2
SOC-STD 98MF: Liberalism and Its Critics,fall,2012,SOC-STD,10,2.5,4.3
SOC-STD 98MI: Migration in Theory and Practice,fall,2012,SOC-STD,10,2.2,4.7
SOC-STD 98NB: Inequality and Social Mobility in America,fall,2012,SOC-STD,10,2.5,4.9
"SOC-STD 98ND: Mass Violence, Memory, and Justice/Reconciliation",fall,2012,SOC-STD,10,2.7,4.0
SOC-STD 98NG: Heidegger and Social Thought,fall,2012,SOC-STD,6,2.5,4.7
SOC-STD 98NU: Poor People's Movements in Latin America,fall,2012,SOC-STD,10,2.8,4.5
SOC-STD 98NW: Health Care in America,fall,2012,SOC-STD,10,2.0,4.5
SOC-STD 98NX: Human Rights and International Law,fall,2012,SOC-STD,9,2.4,3.1
SOCIOL 107: The American Family,fall,2012,SOCIOL,72,1.5,3.1
SOCIOL 108: Inequality at Work,fall,2012,SOCIOL,9,1.9,4.0
SOCIOL 128: Models of Social Science Research,fall,2012,SOCIOL,60,2.1,3.4
SOCIOL 132: Mobilizing for Social Change: Social Movements and Revolutions around the World,fall,2012,SOCIOL,30,2.0,4.2
SOCIOL 142: Urban Problems and Politics,fall,2012,SOCIOL,62,1.9,3.6
SOCIOL 143: Building Just Institutions,fall,2012,SOCIOL,11,2.2,4.4
"SOCIOL 149: Inequality, Poverty, and Wealth in Comparative Perspective",fall,2012,SOCIOL,64,1.4,3.8
SOCIOL 155: Class and Culture,fall,2012,SOCIOL,105,1.9,4.1
SOCIOL 157: Mapping and Analyzing Social Patterns in Greater Boston,fall,2012,SOCIOL,5,2.5,4.2
SOCIOL 165: Inequalities in Health Care,fall,2012,SOCIOL,26,1.5,3.6
SOCIOL 174: Contemporary Central Asia and the Caucasus,fall,2012,SOCIOL,13,2.6,4.2
SOCIOL 175: Sociology of Immigration,fall,2012,SOCIOL,10,2.2,4.2
"SOCIOL 179: Crime, Justice, and the American Legal System",fall,2012,SOCIOL,43,2.3,4.3
SOCIOL 183: Race and Ethnic Relations,fall,2012,SOCIOL,37,2.8,3.7
SOCIOL 187: Nationalism and Society,fall,2012,SOCIOL,7,2.4,4.0
SOCIOL 203A: Advanced Quantitative Research Methods,fall,2012,SOCIOL,14,2.9,4.2
SOCIOL 203B: Analysis of Longitudinal Data: Seminar,fall,2012,SOCIOL,11,3.1,4.5
SOCIOL 204: Classical Social Theory,fall,2012,SOCIOL,13,3.9,4.2
SOCIOL 205: Sociological Research Design,fall,2012,SOCIOL,13,3.1,3.9
SOCIOL 223: American Society and Public Policy: Research Seminar,fall,2012,SOCIOL,10,2.8,2.9
SOCIOL 237: Contemporary Chinese Society: Seminar,fall,2012,SOCIOL,7,2.7,4.3
SOCIOL 25: Introduction to the Sociology of Organizations,fall,2012,SOCIOL,124,1.6,3.5
SOCIOL 267: Political Sociology,fall,2012,SOCIOL,5,3.4,5.0
SOCIOL 275: Social Network Analysis: Seminar,fall,2012,SOCIOL,15,2.6,3.6
SOCIOL 296A: Proseminar on Inequality & Social Policy I,fall,2012,SOCIOL,12,2.1,3.8
SOCIOL 310: Qualifying Paper,fall,2012,SOCIOL,10,1.9,4.5
SOCIOL 38: Visualizing Global Social Problems and Social Change in Documentary Photography and Film,fall,2012,SOCIOL,26,2.2,3.6
SOCIOL 97: Tutorial in Sociological Theory,fall,2012,SOCIOL,17,2.4,4.3
SOCIOL 98BC: The Logic of Cultural Comparison,fall,2012,SOCIOL,3,2.3,4.7
"SOCIOL 98K: Big Bird Goes to China: Organizations, Culture, and Globalization",fall,2012,SOCIOL,11,2.2,4.8
SOCIOL 98L: Racism and Anti-Racism in Comparative Perspective,fall,2012,SOCIOL,4,2.3,4.3
SOCIOL 98VA: Development in Theory and Practice,fall,2012,SOCIOL,8,1.9,4.2
SOCWORLD 25: Case Studies in Global Health: Biosocial Perspectives,fall,2012,SOCWORLD,184,2.2,4.3
SOCWORLD 30: Moctezuma's Mexico: Then and Now (2012)!,fall,2012,SOCWORLD,65,1.5,4.0
"SOCWORLD 34: The Caribbean: Globalization, Socio-Economic Development & Cultural Adaptation",fall,2012,SOCWORLD,14,1.8,4.3
SOCWORLD 36: Modern India and South Asia,fall,2012,SOCWORLD,26,2.0,3.5
SOCWORLD 38: Pyramid Schemes: The Archaeological History of Ancient Egypt,fall,2012,SOCWORLD,39,1.6,3.6
SOCWORLD 40: The Incas: The Last Great Empire of Pre-Columbian South America,fall,2012,SOCWORLD,81,1.5,3.6
"SOCWORLD 42: The World Wars in Global Context, 1905-1950",fall,2012,SOCWORLD,10,2.6,4.4
SOCWORLD 46: The Anthropology of Arabia,fall,2012,SOCWORLD,21,1.7,3.5
SOCWORLD 47: Contemporary South Asia: Entrepreneurial Solutions to Intractable Social & Economic Problems,fall,2012,SOCWORLD,28,2.2,3.7
SPANSH 134: Nahuatl (Aztec) Language and Culture,fall,2012,SPANSH,10,2.3,4.4
"SPANSH 173: Madrid, fin-de-siecle",fall,2012,SPANSH,14,2.4,4.9
SPANSH 179: Regarding the Pain of Spain,fall,2012,SPANSH,11,2.3,4.3
SPANSH 194: The Borges Machine,fall,2012,SPANSH,20,1.6,4.4
SPANSH 201: Historia de la lengua española,fall,2012,SPANSH,11,2.0,4.2
SPANSH 218R: Colonial/Postcolonial Studies,fall,2012,SPANSH,7,3.1,4.6
SPANSH 259: The Woman of a Thousand Faces: Literary and Visual Representations of Eva Peron,fall,2012,SPANSH,10,2.9,4.6
SPANSH 30: Advanced Spanish Language I: Four Countries and their Cultures,fall,2012,SPANSH,81,1.9,4.2
SPANSH 40: Advanced Spanish Language II: Viewing the Hispanic World,fall,2012,SPANSH,59,2.0,4.2
SPANSH 50: Writing and Performance,fall,2012,SPANSH,80,1.9,4.2
SPANSH 59: Spanish and the Community,fall,2012,SPANSH,12,1.9,4.5
SPANSH 61N: Advanced Spanish Language and Culture: The Ethics of Business,fall,2012,SPANSH,28,1.9,4.5
"SPANSH 70A: Heroes, Rogues, and Significant Others: Voices from Medieval and Early Modern Spain",fall,2012,SPANSH,11,2.8,3.7
SPANSH 71B: Introduction to Modern Latin American Literature,fall,2012,SPANSH,29,2.1,3.5
SPANSH 90TV: Displacing Spain: Workshop on 20th and 21st-Century Transatlantic Poetry,fall,2012,SPANSH,11,2.1,4.6
SPANSH AA: Beginning Spanish I,fall,2012,SPANSH,157,1.9,4.1
SPANSH AB: Beginning Spanish II,fall,2012,SPANSH,85,1.7,4.3
SPANSH ACD: Intensive Beginning Spanish: Special Course,fall,2012,SPANSH,11,3.3,4.9
SPANSH C: Intermediate Spanish,fall,2012,SPANSH,108,1.8,4.3
STAT 100: Introduction to Quantitative Methods for the Social Sciences and Humanities,fall,2012,STAT,23,2.9,2.9
STAT 101: Introduction to Quantitative Methods for Psychology and the Behavioral Sciences,fall,2012,STAT,56,2.2,4.0
STAT 104: Introduction to Quantitative Methods for Economics,fall,2012,STAT,467,1.7,4.0
STAT 110: Introduction to Probability,fall,2012,STAT,305,3.5,4.4
STAT 131: Time Series Analysis and Forecasting,fall,2012,STAT,53,2.2,3.7
STAT 135: Statistical Computing Software,fall,2012,STAT,37,2.0,4.1
STAT 139: Statistical Sleuthing Through Linear Models,fall,2012,STAT,55,3.1,4.2
STAT 170: Introduction to Quantitative Methods in Finance,fall,2012,STAT,6,3.0,4.0
STAT 210: Probability Theory,fall,2012,STAT,32,3.2,4.2
STAT 212: Advanced Stochastic Processes,fall,2012,STAT,4,2.5,3.8
STAT 220: Bayesian Data Analysis,fall,2012,STAT,45,4.2,4.2
STAT 230: Multivariate Statistical Analysis,fall,2012,STAT,23,3.0,4.5
STAT 232R: Topics in Missing Data,fall,2012,STAT,19,1.9,3.9
STAT 244: Linear and Generalized Linear Models,fall,2012,STAT,16,2.8,4.9
STAT 265R: Reading Cox,fall,2012,STAT,16,1.9,4.8
STAT 303HF: The Art and Practice of Teaching Statistics,fall,2012,STAT,8,1.3,4.1
STAT 310HFR: Topics in Astrostatistics,fall,2012,STAT,5,2.2,5.0
STAT 342: Causal Graphs in Low and High Dimensions,fall,2012,STAT,6,1.7,5.0
"STAT 392HF: Research Topics in Missing Data, Matching and Causality",fall,2012,STAT,11,2.0,4.7
STAT 399: Problem Solving in Statistics,fall,2012,STAT,7,2.5,4.0
SWAHILI 101AR: Reading in Swahili,fall,2012,SWAHILI,8,2.0,4.0
SWAHILI A: Elementary Swahili,fall,2012,SWAHILI,21,2.1,3.8
SWAHILI B: Intermediate Swahili,fall,2012,SWAHILI,7,1.6,4.1
SWEDISH AA: Beginning Swedish Language and Literature,fall,2012,SWEDISH,17,2.7,4.6
SWEDISH BA: Intermediate Swedish: Childhood in Swedish Literature and Culture,fall,2012,SWEDISH,4,2.3,4.7
SYSTBIO 200: Dynamic and Stochastic Processes in Cells,fall,2012,SYSTBIO,24,3.1,4.3
SYSTBIO 204: Biomolecular Engineering and Synthetic Biology,fall,2012,SYSTBIO,6,2.2,4.6
SYSTBIO 212: Communication of Science,fall,2012,SYSTBIO,12,1.8,4.9
TAM 101A: Elementary Tamil,fall,2012,TAM,5,2.6,5.0
TAM 102A: Intermediate Tamil,fall,2012,TAM,2,2.5,4.5
THI 101A: Introductory Thai I,fall,2012,THI,4,1.7,4.7
THI 102A: Intermediate Thai I,fall,2012,THI,2,2.5,5.0
THI 103AR: Readings in Thai I,fall,2012,THI,3,2.3,4.0
TIBET 101A: Elementary Classical Tibetan,fall,2012,TIBET,7,2.6,4.6
TIBET 105AR: Intermediate Colloquial Tibetan,fall,2012,TIBET,4,2.3,4.3
"TIBET 234: Readings in the Letters and Instructions of Spyan snga Grags pa byung gnas (1175-1255), abbot of Bri",fall,2012,TIBET,1,3.0,5.0
TIBET 235: Introduction in reading traditional Tibetan archival (yig tshags) and government documents (gzhung y,fall,2012,TIBET,3,2.0,4.0
TIBETAN 104AR: Elementary Colloquial Tibetan,fall,2012,TIBETAN,1,3.0,5.0
TURKISH 121: Elementary Uzbek,fall,2012,TURKISH,6,2.3,4.7
TURKISH 130A: Advanced Turkish I,fall,2012,TURKISH,6,2.4,4.2
TURKISH A: Elementary Modern Turkish,fall,2012,TURKISH,10,3.1,4.4
TWI A: Elementary Twi,fall,2012,TWI,7,1.3,4.0
TWI B: Intermediate Twi,fall,2012,TWI,2,1.5,4.5
URD 101: Introductory Urdu-Hindi,fall,2012,URD,19,3.0,4.2
URD 102: Intermediate Urdu-Hindi,fall,2012,URD,9,2.1,4.6
URD 103A: Advanced Urdu-Hindi,fall,2012,URD,5,2.0,4.5
URD 105R: Topics in Urdu-Hindi Literature,fall,2012,URD,2,2.0,5.0
US-WORLD 11: American Health Care Policy,fall,2012,US-WORLD,29,1.8,3.5
US-WORLD 31: American Society and Public Policy,fall,2012,US-WORLD,43,1.9,3.6
US-WORLD 32: The World's Religions in Multicultural America: Case Studies in Religious Pluralism,fall,2012,US-WORLD,43,1.7,4.6
US-WORLD 35: Dilemmas of Equity and Excellence in American K-12 Education,fall,2012,US-WORLD,73,2.5,4.5
US-WORLD 38: Forced to be Free: Americans as Occupiers and Nation-Builders,fall,2012,US-WORLD,50,2.1,4.0
UYGHUR 120A: Intermediate/Advanced Uyghur,fall,2012,UYGHUR,1,2.0,4.0
VES 108: Stranger than Fiction,fall,2012,VES,8,2.0,4.6
VES 10A: Drawing 1,fall,2012,VES,13,2.4,4.9
VES 10BR: Drawing 2,fall,2012,VES,13,2.3,4.7
VES 115: Printed Matters: Studio Course,fall,2012,VES,10,2.6,4.8
VES 148R: Constructed Photo Images,fall,2012,VES,5,2.8,4.0
VES 150AR: Video Production: Sensation/Emotion,fall,2012,VES,10,2.7,3.6
VES 151BR: Nonfiction Video Projects: Studio Course,fall,2012,VES,6,3.4,5.0
VES 153AR: Intermediate Animation: Making an Animated Film: Studio Course,fall,2012,VES,10,2.9,4.3
VES 158BR: Living Documentary: Studio Course,fall,2012,VES,4,3.7,5.0
VES 15AR: Silkscreen: Studio Course,fall,2012,VES,9,3.0,4.9
VES 176N: Facing Reality: A History of Documentary Cinema in Cambridge,fall,2012,VES,7,2.4,3.4
VES 177E: Critical Cinema: A History of Experimental and Avant-Garde Film,fall,2012,VES,14,2.4,3.3
"VES 184: Imagining the City: Literature, Film, and the Arts",fall,2012,VES,16,2.4,3.7
VES 23: Conceptual Figure,fall,2012,VES,11,3.4,4.7
VES 271: Proseminar in Film and Visual Studies: Theory,fall,2012,VES,11,2.9,4.4
VES 283: Screens: Media Archaeology and Visual Arts Seminar,fall,2012,VES,8,3.3,4.0
VES 35R: Building Thought: Studio Course,fall,2012,VES,8,2.9,4.9
VES 40A: Introduction to Still Photography: Studio Course,fall,2012,VES,17,2.9,4.7
VES 41A: Introduction to Still Photography: Studio Course,fall,2012,VES,11,2.8,4.6
VES 50: Introduction to Nonfiction Filmmaking,fall,2012,VES,10,3.8,5.0
VES 52R: Introduction to Nonfiction Videomaking,fall,2012,VES,8,3.2,4.9
VES 53AR: Fundamentals of Animation: Studio Course,fall,2012,VES,12,3.1,4.7
VES 60X: Video Production: Subject/Object,fall,2012,VES,8,2.6,4.5
VES 70: The Art of Film,fall,2012,VES,47,1.8,3.7
VES 80: Loitering: Studio Course,fall,2012,VES,12,1.9,5.0
VES 96R: Directed Research: Studio Course,fall,2012,VES,11,3.1,4.7
VES 99: Tutorial - Senior Year (Thesis/Senior Project),fall,2012,VES,19,3.8,4.4
VIETNAM 120A: Intermediate Vietnamese,fall,2012,VIETNAM,5,1.4,4.8
VIETNAM 130A: Advanced Vietnamese,fall,2012,VIETNAM,2,2.0,5.0
VIETNAM 140A: Advanced-High Vietnamese,fall,2012,VIETNAM,1,1.0,5.0
VIETNAM BA: Elementary Vietnamese,fall,2012,VIETNAM,11,2.0,4.2
VIROLOGY 200: Introduction to Virology,fall,2012,VIROLOGY,9,2.9,3.5
VIROLOGY 202: Animal Virology: Seminar,fall,2012,VIROLOGY,11,3.6,3.3
WELSH 128: Introduction to Modern Welsh,fall,2012,WELSH,3,3.7,3.3
"WOMGEN 1127: Beyond the Sound Bite: Women, Gender, and Sexuality in The Daily News",fall,2012,WOMGEN,16,1.8,4.5
"WOMGEN 1200SH: Power to the People: Black Power, Radical Feminism, and Gay Liberation, 1955-1975",fall,2012,WOMGEN,43,2.1,3.7
"WOMGEN 1245: Virgins, Vamps, and Camp: Gender and Sexuality in Classical Hollywood Cinema",fall,2012,WOMGEN,18,1.8,4.6
WOMGEN 1258: Friends with Benefits?,fall,2012,WOMGEN,12,1.8,3.2
"WOMGEN 1263: Sexuality and Intimacy in British Literature, 1680-1815",fall,2012,WOMGEN,2,2.0,5.0
"WOMGEN 1411: Sex, Gender Roles, and Sexuality in Native America",fall,2012,WOMGEN,8,2.2,4.7
WOMGEN 1424: American Fetish: Consumer Culture Encounters the Other,fall,2012,WOMGEN,13,2.0,4.6
WOMGEN 1459: History of Sexuality: Theory and Practice,fall,2012,WOMGEN,9,2.4,4.9
YIDDISH A: Elementary Yiddish,fall,2012,YIDDISH,6,2.0,4.8
YORUBA 101AR: Reading in Yoruba,fall,2012,YORUBA,3,2.0,5.0
YORUBA A: Elementary Yoruba,fall,2012,YORUBA,5,1.8,3.0
YORUBA B: Intermediate Yoruba,fall,2012,YORUBA,3,1.3,4.7
"AESTHINT 20: Poems, Poets, Poetry",spring,2013,AESTHINT,117,1.6,3.8
AESTHINT 21: Virgil: Poetry and Reception,spring,2013,AESTHINT,15,1.7,4.3
AESTHINT 25: Surrealism: Avant-Garde Art and Politics between the Wars,spring,2013,AESTHINT,20,2.1,3.3
AESTHINT 36: Buddhism and Japanese Culture,spring,2013,AESTHINT,92,1.6,3.9
AESTHINT 41: How and What Russia Learned to Read: The Rise of Russian Literary Culture,spring,2013,AESTHINT,36,2.8,4.3
AESTHINT 53: Anime as Global Popular Culture,spring,2013,AESTHINT,34,1.5,3.6
AESTHINT 58: Modern Art and Modernity,spring,2013,AESTHINT,55,2.0,3.8
AFRAMER 109: Using Film for Social Change,spring,2013,AFRAMER,9,3.0,4.2
AFRAMER 10: Introduction to African American Studies,spring,2013,AFRAMER,126,1.8,3.9
AFRAMER 118: The History of African Americans From the Slave Trade to the Great Migration,spring,2013,AFRAMER,33,1.9,4.2
"AFRAMER 119X: Chocolate, Culture, and the Politics of Food",spring,2013,AFRAMER,173,1.7,3.7
AFRAMER 131: African American Literature from the Beginnings to the Harlem Renaissance,spring,2013,AFRAMER,14,2.8,4.7
"AFRAMER 143: Representing Blackness: Media, Technology and Power in Hiphop Culture",spring,2013,AFRAMER,6,2.2,3.6
"AFRAMER 145X: The Hiphop Cipher: ""These are the Breaks"" [With 9th Wonder]",spring,2013,AFRAMER,60,1.3,3.8
"AFRAMER 160: Christianity, Identity, and Civil Society in Africa",spring,2013,AFRAMER,5,2.4,3.8
AFRAMER 169: Visualizing Africa,spring,2013,AFRAMER,7,2.2,4.0
"AFRAMER 189X: Medicine, Culture, and Society",spring,2013,AFRAMER,16,2.3,4.6
AFRAMER 190X: The Anthropology of Law: Perspectives from Africa and Elsewhere,spring,2013,AFRAMER,11,2.1,4.7
AFRAMER 191X: African American Lives in the Law,spring,2013,AFRAMER,13,1.9,4.1
"AFRAMER 197: Poverty, Race, and Health",spring,2013,AFRAMER,22,1.8,3.8
AFRAMER 209B: Africa Rising? New African Economies/Cultures and Their Global Implications,spring,2013,AFRAMER,12,1.9,5.0
AFRAMER 302: Graduate Seminar,spring,2013,AFRAMER,6,2.0,3.0
AFRAMER 90R.A1: Afrikaans,spring,2013,AFRAMER,3,1.0,4.0
AFRAMER 90R.A: Amharic,spring,2013,AFRAMER,5,2.0,4.0
AFRAMER 90R.B: Bamanakan,spring,2013,AFRAMER,1,2.0,3.0
AFRAMER 90R.D: Chichewa,spring,2013,AFRAMER,3,1.7,4.3
AFRAMER 90R.G: Haitian Creole,spring,2013,AFRAMER,15,1.5,4.7
AFRAMER 90R.I: Igbo,spring,2013,AFRAMER,9,1.6,3.6
AFRAMER 90R.J: Kinyarwanda,spring,2013,AFRAMER,6,1.7,4.5
AFRAMER 90R.N: Tigrinya,spring,2013,AFRAMER,3,2.0,4.0
AFRAMER 90R.O: Wolof,spring,2013,AFRAMER,10,1.9,4.2
AFRAMER 90R.Q: Zulu,spring,2013,AFRAMER,12,1.5,4.5
AFRAMER 90R.U: Sudanese Arabic,spring,2013,AFRAMER,4,1.7,4.3
AFRAMER 90R.V: Pulaar,spring,2013,AFRAMER,1,2.0,5.0
AFRAMER 90R.W: Ibibio,spring,2013,AFRAMER,2,2.0,5.0
